Date W/ Weekends,Open,High,Low,Close,Adj Close,Volume
12/7/2010,123.940002,124.010002,122.760002,122.830002,99.807426,206581000
12/8/2010,122.980003,123.379997,122.410004,123.279999,100.17308,138019200
12/9/2010,123.970001,124.019997,123.150002,123.760002,100.563103,123705100
12/10/2010,124.139999,124.599998,123.730003,124.480003,101.148155,117571700
12/11/2010,124.139999,124.599998,123.730003,124.480003,101.148155,117571700
12/12/2010,124.139999,124.599998,123.730003,124.480003,101.148155,117571700
12/13/2010,125.050003,125.199997,124.519997,124.559998,101.213165,133812700
12/14/2010,124.75,125.230003,124.290001,124.669998,101.302551,147249600
12/15/2010,124.440002,124.93,123.889999,124.099998,100.839401,160823100
12/16/2010,124.18,124.910004,123.75,124.82,101.424446,185035200
12/17/2010,124.080002,124.459999,123.82,124.300003,101.533043,141075300
12/18/2010,124.080002,124.459999,123.82,124.300003,101.533043,141075300
12/19/2010,124.080002,124.459999,123.82,124.300003,101.533043,141075300
12/20/2010,124.639999,124.900002,123.980003,124.599998,101.778084,119085500
12/21/2010,124.989998,125.470001,124.870003,125.389999,102.423409,94965500
12/22/2010,125.480003,125.82,125.410004,125.779999,102.742004,78878100
12/23/2010,125.639999,125.779999,125.290001,125.599998,102.594963,70053700
12/24/2010,125.639999,125.779999,125.290001,125.599998,102.594963,70053700
12/25/2010,125.639999,125.779999,125.290001,125.599998,102.594963,70053700
12/26/2010,125.639999,125.779999,125.290001,125.599998,102.594963,70053700
12/27/2010,125.129997,125.769997,125.040001,125.650002,102.635803,58126000
12/28/2010,125.900002,125.949997,125.5,125.830002,102.782837,55309100
12/29/2010,125.980003,126.199997,125.900002,125.919998,102.856354,58033100
12/30/2010,125.800003,126.129997,125.529999,125.720001,102.692986,76616900
12/31/2010,125.529999,125.870003,125.330002,125.75,102.717484,91218900
1/1/2011,125.529999,125.870003,125.330002,125.75,102.717484,91218900
1/2/2011,125.529999,125.870003,125.330002,125.75,102.717484,91218900
1/3/2011,126.709999,127.599998,125.699997,127.050003,103.779396,138725200
1/4/2011,127.330002,127.370003,126.190002,126.980003,103.722198,137409700
1/5/2011,126.580002,127.720001,126.459999,127.639999,104.261322,133975300
