Day,bitcoin,,in 8 month segments
4/20/2019,22,,
4/19/2019,22,,
4/18/2019,21,,
4/17/2019,22,,
4/16/2019,22,,end third segment
4/15/2019,46,,
4/14/2019,35,,
4/13/2019,38,,
4/12/2019,44,,
4/11/2019,51,,
4/10/2019,47,,
4/9/2019,52,,
4/8/2019,54,,
4/7/2019,45,,
4/6/2019,45,,
4/5/2019,50,,
4/4/2019,67,,
4/3/2019,88,,
4/2/2019,83,,
4/1/2019,37,,
3/31/2019,29,,
3/30/2019,30,,
3/29/2019,35,,
3/28/2019,33,,
3/27/2019,35,,
3/26/2019,34,,
3/25/2019,33,,
3/24/2019,31,,
3/23/2019,30,,
3/22/2019,35,,
3/21/2019,37,,
3/20/2019,34,,
3/19/2019,37,,
3/18/2019,34,,
3/17/2019,30,,
3/16/2019,34,,
3/15/2019,30,,
3/14/2019,29,,
3/13/2019,30,,
3/12/2019,33,,
3/11/2019,32,,
3/10/2019,31,,
3/9/2019,33,,
3/8/2019,33,,
3/7/2019,34,,
3/6/2019,38,,
3/5/2019,38,,
3/4/2019,36,,
3/3/2019,30,,
3/2/2019,30,,
3/1/2019,34,,
2/28/2019,33,,
2/27/2019,35,,
2/26/2019,38,,
2/25/2019,39,,
2/24/2019,44,,
2/23/2019,40,,
2/22/2019,38,,
2/21/2019,37,,
2/20/2019,41,,
2/19/2019,45,,
2/18/2019,43,,
2/17/2019,31,,
2/16/2019,30,,
2/15/2019,33,,
2/14/2019,35,,
2/13/2019,36,,
2/12/2019,34,,
2/11/2019,36,,
2/10/2019,34,,
2/9/2019,38,,
2/8/2019,39,,
2/7/2019,40,,
2/6/2019,40,,
2/5/2019,45,,
2/4/2019,40,,
2/3/2019,30,,
2/2/2019,31,,
2/1/2019,37,,
1/31/2019,37,,
1/30/2019,34,,
1/29/2019,37,,
1/28/2019,41,,
1/27/2019,32,,
1/26/2019,32,,
1/25/2019,35,,
1/24/2019,34,,
1/23/2019,33,,
1/22/2019,36,,
