Date,n-transactions-total
3/21/2012,2651310
3/22/2012,2651310
3/23/2012,2671690
3/24/2012,2671690
3/25/2012,2671690
3/26/2012,2690347
3/27/2012,2690347
3/28/2012,2690347
3/29/2012,2710879
3/30/2012,2710879
3/31/2012,2710879
4/1/2012,2731514
4/2/2012,2731514
4/3/2012,2731514
4/4/2012,2751309
4/5/2012,2751309
4/6/2012,2751309
4/7/2012,2772152
4/8/2012,2772152
4/9/2012,2772152
4/10/2012,2790733
4/11/2012,2790733
4/12/2012,2790733
4/13/2012,2815352
4/14/2012,2815352
4/15/2012,2815352
4/16/2012,2837823
4/17/2012,2837823
4/18/2012,2837823
4/19/2012,2862799
4/20/2012,2862799
4/21/2012,2862799
4/22/2012,2886185
4/23/2012,2886185
4/24/2012,2886185
4/25/2012,2907339
4/26/2012,2907339
4/27/2012,2907339
4/28/2012,2932046
4/29/2012,2932046
4/30/2012,2932046
5/1/2012,2956670
5/2/2012,2956670
5/3/2012,2956670
5/4/2012,2990876
5/5/2012,2990876
5/6/2012,2990876
5/7/2012,3029104
5/8/2012,3029104
5/9/2012,3029104
5/10/2012,3082407
5/11/2012,3082407
5/12/2012,3082407
5/13/2012,3131585
5/14/2012,3131585
5/15/2012,3131585
5/16/2012,3196801
5/17/2012,3196801
5/18/2012,3196801
5/19/2012,3256934
5/20/2012,3256934
5/21/2012,3256934
5/22/2012,3354714
5/23/2012,3354714
5/24/2012,3354714
5/25/2012,3432404
5/26/2012,3432404
5/27/2012,3432404
5/28/2012,3510999
5/29/2012,3510999
5/30/2012,3510999
5/31/2012,3596692
6/1/2012,3596692
6/2/2012,3596692
6/3/2012,3657304
6/4/2012,3657304
6/5/2012,3657304
6/6/2012,3780999
6/7/2012,3780999
6/8/2012,3780999
6/9/2012,3854429
6/10/2012,3854429
6/11/2012,3854429
6/12/2012,3960341
6/13/2012,3960341
6/14/2012,3960341
6/15/2012,4097822
6/16/2012,4097822
6/17/2012,4097822
6/18/2012,4239669
6/19/2012,4239669
6/20/2012,4239669
6/21/2012,4347208
6/22/2012,4347208
6/23/2012,4347208
6/24/2012,4419553
6/25/2012,4419553
6/26/2012,4419553
6/27/2012,4500973
6/28/2012,4500973
6/29/2012,4500973
6/30/2012,4581177
7/1/2012,4581177
7/2/2012,4581177
7/3/2012,4648366
7/4/2012,4648366
7/5/2012,4648366
7/6/2012,4715628
7/7/2012,4715628
7/8/2012,4715628
7/9/2012,4785908
7/10/2012,4785908
7/11/2012,4785908
7/12/2012,4877845
7/13/2012,4877845
7/14/2012,4877845
7/15/2012,4949089
7/16/2012,4949089
7/17/2012,4949089
7/18/2012,5042031
7/19/2012,5042031
7/20/2012,5042031
7/21/2012,5142579
7/22/2012,5142579
7/23/2012,5142579
7/24/2012,5244986
7/25/2012,5244986
7/26/2012,5244986
7/27/2012,5331059
7/28/2012,5331059
7/29/2012,5331059
7/30/2012,5428001
7/31/2012,5428001
8/1/2012,5428001
8/2/2012,5534741
8/3/2012,5534741
8/4/2012,5534741
8/5/2012,5624370
8/6/2012,5624370
8/7/2012,5624370
8/8/2012,5722485
8/9/2012,5722485
8/10/2012,5722485
8/11/2012,5821082
8/12/2012,5821082
8/13/2012,5821082
8/14/2012,5937610
8/15/2012,5937610
8/16/2012,5937610
8/17/2012,6071949
8/18/2012,6071949
8/19/2012,6071949
8/20/2012,6186236
8/21/2012,6186236
8/22/2012,6186236
8/23/2012,6302819
8/24/2012,6302819
8/25/2012,6302819
8/26/2012,6399905
8/27/2012,6399905
8/28/2012,6399905
8/29/2012,6493359
8/30/2012,6493359
8/31/2012,6493359
9/1/2012,6601644
9/2/2012,6601644
9/3/2012,6601644
9/4/2012,6713836
9/5/2012,6713836
9/6/2012,6713836
9/7/2012,6837762
9/8/2012,6837762
9/9/2012,6837762
9/10/2012,6934150
9/11/2012,6934150
9/12/2012,6934150
9/13/2012,7033762
9/14/2012,7033762
9/15/2012,7033762
